EmployeeNumber,Age,BusinessTravel,MonthlyIncome,Department,DistanceFromHome,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,NumCompaniesWorked,Attrition
1582,38,Travel_Rarely,9924,Sales,14,Life Sciences,1,,Male,Sales Executive,Married,0,0
1211,30,Travel_Rarely,4115,Sales,29,Life Sciences,1,3.0,Male,Sales Executive,Divorced,8,0
1228,46,Travel_Rarely,7379,Research & Development,2,Technical Degree,1,4.0,Male,Manufacturing Director,Divorced,2,0
362,32,Travel_Rarely,2176,Research & Development,2,Technical Degree,1,4.0,Male,Laboratory Technician,Single,4,0
238,36,Travel_Frequently,2088,Research & Development,3,Medical,1,4.0,Male,Laboratory Technician,Single,4,0
710,29,Travel_Frequently,2720,Research & Development,1,Life Sciences,1,2.0,Male,Research Scientist,Divorced,1,0
1613,31,Travel_Frequently,5332,Sales,2,Other,1,4.0,Male,Sales Executive,Single,7,0
1116,48,Non-Travel,16885,Research & Development,1,Medical,1,1.0,Male,Manager,Single,2,0
918,58,Travel_Frequently,2380,Research & Development,2,Life Sciences,1,4.0,Male,Laboratory Technician,Divorced,9,1
1747,30,Travel_Frequently,2180,Human Resources,8,Human Resources,1,3.0,Female,Human Resources,Divorced,6,1
334,41,Travel_Rarely,3072,Research & Development,19,Life Sciences,1,3.0,Male,Research Scientist,Divorced,2,0
632,24,Travel_Frequently,2400,Sales,24,Medical,1,4.0,Male,Sales Representative,Married,0,0
216,34,Travel_Frequently,2231,Sales,2,Marketing,1,3.0,Female,Sales Representative,Married,6,0
1024,48,Travel_Rarely,10999,Research & Development,4,Life Sciences,1,3.0,Male,Healthcare Representative,Single,7,0
769,53,Travel_Rarely,2450,Research & Development,6,Life Sciences,1,4.0,Male,Laboratory Technician,Single,2,0
497,27,Travel_Rarely,3816,Research & Development,1,Medical,1,4.0,Male,Laboratory Technician,Divorced,1,0
1362,36,Travel_Frequently,4639,Sales,7,Marketing,1,,Female,Sales Executive,Married,2,0
1564,35,Travel_Rarely,2450,Research & Development,1,Medical,1,4.0,Male,Laboratory Technician,Single,1,0
253,40,Travel_Rarely,19033,Research & Development,4,Medical,1,4.0,Female,Manager,Married,1,0
1760,38,Travel_Frequently,2468,Research & Development,2,Medical,1,3.0,Female,Laboratory Technician,Married,4,0
152,37,Travel_Rarely,7428,Sales,3,Life Sciences,1,3.0,Male,Sales Executive,Single,2,0
1163,34,Travel_Rarely,5714,Sales,9,Life Sciences,1,2.0,Female,Sales Executive,Married,1,0
1816,30,Travel_Rarely,9667,Research & Development,10,Medical,1,1.0,Female,Manufacturing Director,Single,9,0
1254,59,Travel_Rarely,5171,Sales,3,Life Sciences,1,3.0,Female,Sales Executive,Single,5,0
1382,38,Travel_Frequently,2610,Research & Development,7,Life Sciences,1,4.0,Male,Research Scientist,Divorced,1,0
373,36,Travel_Rarely,3210,Research & Development,6,Life Sciences,1,4.0,Male,Laboratory Technician,Married,0,0
611,29,Travel_Rarely,4262,Research & Development,19,Technical Degree,1,4.0,Male,Manufacturing Director,Divorced,4,0
274,27,Travel_Frequently,4298,Research & Development,1,Technical Degree,1,3.0,Male,Manufacturing Director,Married,5,0
936,42,Travel_Rarely,6244,Sales,14,Medical,1,3.0,Female,Sales Executive,Single,7,0
141,50,Travel_Frequently,18172,Research & Development,1,Life Sciences,1,1.0,Female,Research Director,Married,3,0
1060,38,Travel_Frequently,2821,Research & Development,3,Other,1,3.0,Male,Research Scientist,Married,3,0
242,33,Travel_Rarely,2500,Research & Development,2,Life Sciences,1,3.0,Male,Research Scientist,Single,0,0
709,38,Travel_Rarely,4028,Sales,7,Marketing,1,4.0,Female,Sales Executive,Single,0,0
868,37,Travel_Rarely,6334,Sales,16,Marketing,1,4.0,Male,Sales Executive,Divorced,4,0
1940,38,Travel_Rarely,4771,Research & Development,9,Life Sciences,1,2.0,Male,Research Scientist,Divorced,2,0
2057,31,Non-Travel,9936,Research & Development,5,Medical,1,,Male,Manufacturing Director,Single,0,0
1527,46,Travel_Rarely,16606,Sales,3,Life Sciences,1,,Female,Manager,Married,8,0
1862,32,Travel_Rarely,9907,Sales,2,Marketing,1,3.0,Male,Sales Executive,Single,7,1
1880,36,Travel_Rarely,5673,Sales,10,Technical Degree,1,2.0,Female,Sales Executive,Married,1,0
484,21,Non-Travel,2610,Sales,9,Medical,1,1.0,Male,Sales Representative,Single,1,0
1812,39,Travel_Frequently,4127,Sales,20,Life Sciences,1,3.0,Male,Sales Executive,Divorced,2,0
1682,36,Travel_Rarely,5347,Research & Development,26,Life Sciences,1,1.0,Male,Healthcare Representative,Married,6,0
174,50,Travel_Frequently,9208,Sales,12,Marketing,1,3.0,Female,Sales Executive,Single,4,0
2032,56,Travel_Rarely,2339,Research & Development,7,Technical Degree,1,4.0,Male,Laboratory Technician,Married,8,1
120,51,Travel_Rarely,5441,Sales,21,Marketing,1,,Male,Sales Executive,Single,0,0
1509,49,Travel_Rarely,4789,Research & Development,3,Medical,1,3.0,Female,Laboratory Technician,Married,4,0
1427,31,Travel_Frequently,1359,Sales,1,Life Sciences,1,2.0,Female,Sales Representative,Single,1,1
1483,57,Travel_Rarely,4900,Research & Development,1,Life Sciences,1,2.0,Male,Research Scientist,Married,0,0
840,49,Travel_Rarely,7654,Sales,11,Marketing,1,3.0,Female,Sales Executive,Married,1,1
1076,43,Travel_Rarely,10798,Sales,25,Medical,1,3.0,Male,Sales Executive,Divorced,5,0
994,29,Travel_Rarely,2404,Research & Development,10,Life Sciences,1,4.0,Female,Research Scientist,Single,6,1
1961,38,Travel_Rarely,2858,Sales,1,Life Sciences,1,1.0,Male,Sales Representative,Single,4,0
1522,29,Travel_Rarely,2362,Research & Development,1,Technical Degree,1,1.0,Male,Research Scientist,Single,6,1
524,31,Travel_Rarely,4306,Research & Development,7,Medical,1,2.0,Female,Manufacturing Director,Married,1,0
1203,22,Travel_Frequently,2853,Research & Development,3,Life Sciences,1,3.0,Male,Research Scientist,Married,0,1
974,29,Travel_Frequently,2157,Sales,20,Technical Degree,1,3.0,Female,Sales Representative,Married,1,0
1259,27,Travel_Rarely,2517,Research & Development,4,Life Sciences,1,1.0,Male,Research Scientist,Divorced,1,0
655,27,Travel_Rarely,2187,Research & Development,6,Medical,1,1.0,Female,Research Scientist,Divorced,0,0
1608,44,Travel_Rarely,19049,Research & Development,7,Medical,1,2.0,Female,Research Director,Divorced,0,0
712,48,Travel_Rarely,8120,Sales,2,Marketing,1,2.0,Male,Sales Executive,Married,3,0
366,29,Travel_Rarely,6644,Sales,2,Medical,1,1.0,Male,Sales Executive,Married,2,0
803,38,Travel_Frequently,5980,Research & Development,2,Life Sciences,1,1.0,Female,Manufacturing Director,Single,6,0
1439,25,Travel_Rarely,4400,Sales,9,Life Sciences,1,1.0,Male,Sales Representative,Married,3,1
757,34,Travel_Rarely,6142,Research & Development,8,Medical,1,2.0,Female,Healthcare Representative,Single,3,0
817,33,Travel_Rarely,11691,Research & Development,7,Medical,1,3.0,Male,Research Director,Married,0,0
355,31,Travel_Frequently,3479,Research & Development,29,Medical,1,3.0,Male,Laboratory Technician,Single,0,1
162,51,Travel_Rarely,19537,Research & Development,6,Life Sciences,1,1.0,Male,Research Director,Single,7,0
1868,29,Travel_Frequently,2439,Research & Development,24,Life Sciences,1,4.0,Male,Research Scientist,Single,1,1
307,38,Travel_Rarely,10609,Sales,3,Life Sciences,1,,Male,Sales Executive,Divorced,0,0
738,50,Travel_Rarely,3875,Sales,8,Marketing,1,4.0,Male,Sales Representative,Married,7,0
510,26,Travel_Frequently,3102,Research & Development,3,Technical Degree,1,,Male,Research Scientist,Single,0,1
1594,36,Travel_Frequently,5562,Research & Development,6,Life Sciences,1,,Male,Laboratory Technician,Married,3,0
476,26,Travel_Rarely,5296,Sales,1,Life Sciences,1,3.0,Male,Sales Executive,Married,1,0
1047,34,Travel_Rarely,9725,Sales,1,Marketing,1,2.0,Male,Sales Executive,Divorced,0,0
1995,38,Travel_Rarely,4440,Sales,1,Life Sciences,1,4.0,Male,Sales Executive,Married,0,0
762,56,Travel_Rarely,11103,Research & Development,9,Medical,1,3.0,Male,Healthcare Representative,Married,7,0
1614,36,Travel_Rarely,4663,Research & Development,12,Life Sciences,1,3.0,Female,Manufacturing Director,Married,9,0
1617,49,Travel_Rarely,3211,Research & Development,25,Life Sciences,1,3.0,Female,Laboratory Technician,Married,1,0
881,35,Travel_Frequently,2022,Research & Development,25,Life Sciences,1,4.0,Female,Research Scientist,Divorced,1,1
1492,35,Travel_Rarely,2404,Sales,7,Life Sciences,1,4.0,Male,Sales Representative,Married,1,0
389,55,Travel_Rarely,5415,Research & Development,20,Technical Degree,1,,Male,Laboratory Technician,Married,3,0
772,32,Travel_Frequently,5309,Research & Development,24,Life Sciences,1,1.0,Male,Laboratory Technician,Married,1,0
2026,56,Non-Travel,6306,Research & Development,1,Life Sciences,1,3.0,Male,Healthcare Representative,Divorced,1,0
1572,53,Travel_Rarely,10169,Research & Development,2,Technical Degree,1,3.0,Female,Manufacturing Director,Married,0,1
1479,30,Travel_Rarely,5301,Sales,16,Life Sciences,1,4.0,Male,Sales Executive,Married,8,0
68,44,Travel_Rarely,5454,Sales,1,Marketing,1,2.0,Female,Sales Executive,Divorced,5,0
941,31,Travel_Rarely,2329,Sales,7,Life Sciences,1,2.0,Male,Sales Representative,Married,3,0
513,36,Travel_Rarely,7596,Sales,2,Medical,1,2.0,Male,Sales Executive,Married,1,0
1201,53,Travel_Rarely,18606,Research & Development,7,Medical,1,4.0,Female,Manager,Divorced,3,0
874,44,Travel_Rarely,2818,Research & Development,8,Life Sciences,1,1.0,Male,Laboratory Technician,Married,2,0
1992,25,Travel_Rarely,3977,Research & Development,2,Other,1,4.0,Male,Laboratory Technician,Divorced,6,0
1515,33,Travel_Rarely,6388,Research & Development,8,Life Sciences,1,4.0,Male,Healthcare Representative,Single,2,0
523,34,Non-Travel,6538,Sales,4,Marketing,1,3.0,Female,Sales Executive,Married,9,0
1117,45,Non-Travel,5593,Sales,9,Life Sciences,1,2.0,Female,Sales Executive,Married,1,0
1945,35,Travel_Rarely,5561,Sales,18,Medical,1,2.0,Male,Sales Executive,Married,0,0
724,38,Travel_Rarely,7625,Research & Development,1,Life Sciences,1,2.0,Female,Healthcare Representative,Single,0,0
1295,44,Travel_Rarely,7978,Research & Development,15,Medical,1,1.0,Female,Healthcare Representative,Married,1,1
641,26,Travel_Rarely,6272,Sales,28,Marketing,1,1.0,Male,Sales Executive,Married,1,0
1478,34,Travel_Rarely,4759,Sales,3,Other,1,4.0,Male,Sales Executive,Single,3,0
1040,50,Non-Travel,6347,Sales,1,Life Sciences,1,4.0,Female,Sales Executive,Married,0,0
1473,49,Travel_Rarely,6651,Research & Development,5,Technical Degree,1,1.0,Male,Healthcare Representative,Married,2,0
273,38,Travel_Rarely,6261,Research & Development,29,Technical Degree,1,4.0,Male,Manufacturing Director,Married,3,0
155,36,Travel_Rarely,2835,Research & Development,3,Life Sciences,1,1.0,Female,Laboratory Technician,Divorced,5,0
1080,46,Travel_Rarely,4615,Research & Development,8,Life Sciences,1,4.0,Female,Research Scientist,Divorced,8,0
1689,53,Travel_Rarely,7005,Research & Development,24,Medical,1,2.0,Male,Healthcare Representative,Married,3,0
1574,32,Non-Travel,4087,Research & Development,1,Technical Degree,1,4.0,Male,Research Scientist,Married,4,0
615,40,Non-Travel,10932,Sales,28,Other,1,3.0,Male,Sales Executive,Divorced,3,0
1428,30,Travel_Rarely,4779,Sales,7,Marketing,1,4.0,Female,Sales Executive,Divorced,7,0
652,35,Travel_Rarely,3681,Research & Development,25,Other,1,1.0,Male,Laboratory Technician,Single,4,0
343,39,Travel_Frequently,10938,Research & Development,2,Technical Degree,1,3.0,Female,Healthcare Representative,Single,0,0
597,55,Travel_Rarely,16835,Sales,18,Life Sciences,1,1.0,Female,Manager,Single,3,0
532,56,Travel_Frequently,13212,Sales,6,Life Sciences,1,,Female,Sales Executive,Married,9,0
1847,36,Travel_Rarely,6962,Research & Development,2,Other,1,,Female,Research Scientist,Married,4,0
912,29,Travel_Rarely,2532,Research & Development,7,Medical,1,1.0,Female,Laboratory Technician,Divorced,6,0
1103,34,Travel_Frequently,7756,Research & Development,3,Life Sciences,1,1.0,Male,Healthcare Representative,Single,0,0
1258,48,Travel_Rarely,2559,Research & Development,2,Technical Degree,1,4.0,Male,Laboratory Technician,Single,5,0
1220,33,Travel_Frequently,4539,Sales,25,Medical,1,2.0,Female,Sales Executive,Married,1,0
1032,59,Travel_Rarely,13726,Research & Development,2,Life Sciences,1,3.0,Female,Manufacturing Director,Single,3,0
1835,38,Travel_Rarely,5405,Sales,2,Marketing,1,2.0,Female,Sales Representative,Married,2,0
1106,25,Travel_Rarely,3691,Research & Development,4,Technical Degree,1,4.0,Male,Laboratory Technician,Married,1,1
2041,38,Travel_Rarely,5343,Sales,10,Life Sciences,1,1.0,Female,Sales Executive,Married,1,0
1972,38,Travel_Frequently,2991,Human Resources,1,Other,1,4.0,Male,Human Resources,Married,0,0
1976,42,Non-Travel,4332,Research & Development,23,Life Sciences,1,4.0,Male,Research Scientist,Single,1,0
1973,55,Travel_Rarely,19636,Human Resources,26,Human Resources,1,3.0,Male,Manager,Married,4,0
1929,39,Non-Travel,5736,Sales,21,Life Sciences,1,1.0,Female,Sales Executive,Married,6,0
1308,58,Travel_Rarely,2372,Research & Development,23,Life Sciences,1,1.0,Male,Research Scientist,Divorced,1,0
161,56,Travel_Rarely,4963,Research & Development,14,Life Sciences,1,2.0,Female,Research Scientist,Married,9,1
1859,29,Travel_Rarely,6384,Research & Development,29,Life Sciences,1,4.0,Male,Healthcare Representative,Divorced,8,0
1647,27,Travel_Rarely,3517,Research & Development,8,Medical,1,2.0,Female,Research Scientist,Married,7,0
2027,29,Travel_Rarely,4787,Research & Development,1,Medical,1,,Male,Research Scientist,Married,9,1
1619,27,Travel_Rarely,4066,Research & Development,19,Other,1,4.0,Male,Laboratory Technician,Divorced,1,0
657,20,Travel_Rarely,2836,Research & Development,1,Life Sciences,1,4.0,Female,Research Scientist,Single,1,0
682,53,Travel_Rarely,8381,Sales,1,Medical,1,4.0,Female,Sales Executive,Single,7,0
277,34,Travel_Frequently,3815,Research & Development,10,Medical,1,4.0,Male,Research Scientist,Divorced,1,0
486,37,Travel_Rarely,3452,Research & Development,10,Medical,1,3.0,Female,Laboratory Technician,Married,6,0
1869,46,Travel_Rarely,7314,Sales,10,Life Sciences,1,,Female,Sales Executive,Married,5,1
620,35,Travel_Rarely,4859,Sales,1,Medical,1,1.0,Female,Sales Executive,Single,1,0
1260,29,Travel_Rarely,6623,Research & Development,7,Life Sciences,1,3.0,Male,Healthcare Representative,Divorced,1,0
1401,52,Travel_Frequently,13247,Research & Development,28,Medical,1,4.0,Female,Manufacturing Director,Married,2,0
752,42,Travel_Frequently,2759,Research & Development,19,Medical,1,,Male,Research Scientist,Divorced,6,1
1525,39,Travel_Rarely,8376,Research & Development,6,Life Sciences,1,2.0,Female,Manufacturing Director,Single,4,0
176,41,Travel_Rarely,8189,Sales,9,Life Sciences,1,3.0,Male,Sales Executive,Divorced,3,0
1278,55,Non-Travel,13577,Research & Development,8,Medical,1,4.0,Male,Healthcare Representative,Divorced,1,0
386,53,Travel_Rarely,17584,Research & Development,3,Medical,1,3.0,Male,Research Director,Married,3,0
900,37,Travel_Frequently,2973,Sales,21,Medical,1,3.0,Female,Sales Representative,Married,5,0
30,21,Travel_Rarely,1232,Research & Development,15,Life Sciences,1,3.0,Male,Research Scientist,Single,1,0
2060,26,Travel_Rarely,2966,Sales,5,Other,1,4.0,Female,Sales Representative,Single,0,0
1950,34,Travel_Rarely,9888,Sales,1,Marketing,1,1.0,Male,Sales Executive,Single,1,0
1120,29,Travel_Rarely,2514,Research & Development,28,Life Sciences,1,3.0,Female,Research Scientist,Divorced,4,0
271,38,Travel_Rarely,6553,Research & Development,2,Life Sciences,1,4.0,Male,Manufacturing Director,Married,9,0
137,20,Travel_Frequently,2926,Research & Development,6,Life Sciences,1,4.0,Female,Laboratory Technician,Single,1,1
518,37,Travel_Rarely,4197,Research & Development,10,Life Sciences,1,3.0,Male,Manufacturing Director,Single,2,0
425,45,Travel_Frequently,5210,Research & Development,7,Life Sciences,1,,Male,Laboratory Technician,Divorced,1,0
1242,42,Travel_Frequently,13191,Research & Development,26,Medical,1,1.0,Female,Research Director,Married,3,0
1411,37,Travel_Rarely,3629,Research & Development,11,Medical,1,1.0,Female,Laboratory Technician,Single,4,0
90,36,Travel_Rarely,3388,Research & Development,9,Medical,1,4.0,Male,Research Scientist,Married,0,1
957,41,Travel_Rarely,4721,Research & Development,6,Medical,1,4.0,Male,Laboratory Technician,Single,2,0
63,35,Travel_Rarely,2269,Research & Development,8,Life Sciences,1,,Male,Laboratory Technician,Married,1,0
1999,41,Travel_Rarely,2782,Research & Development,1,Life Sciences,1,4.0,Male,Research Scientist,Married,3,0
667,27,Travel_Rarely,3041,Sales,2,Marketing,1,3.0,Male,Sales Representative,Divorced,0,1
1460,45,Travel_Rarely,10851,Research & Development,20,Medical,1,2.0,Male,Healthcare Representative,Divorced,2,0
311,37,Travel_Frequently,2793,Sales,4,Marketing,1,1.0,Male,Sales Representative,Divorced,4,0
1196,37,Travel_Rarely,6474,Research & Development,1,Life Sciences,1,4.0,Female,Manufacturing Director,Married,1,0
717,34,Travel_Rarely,8621,Research & Development,9,Medical,1,4.0,Female,Healthcare Representative,Single,1,0
1160,31,Travel_Frequently,2610,Research & Development,15,Medical,1,3.0,Male,Laboratory Technician,Married,1,1
815,50,Travel_Rarely,17639,Research & Development,2,Medical,1,3.0,Male,Research Director,Married,5,0
1764,32,Non-Travel,2718,Research & Development,5,Technical Degree,1,2.0,Male,Research Scientist,Single,2,0
850,27,Non-Travel,1706,Research & Development,3,Medical,1,4.0,Male,Research Scientist,Married,1,0
2064,27,Travel_Rarely,6142,Research & Development,4,Life Sciences,1,2.0,Male,Manufacturing Director,Married,1,0
1449,40,Non-Travel,3975,Research & Development,9,Other,1,3.0,Male,Laboratory Technician,Divorced,3,0
1766,38,Travel_Rarely,5811,Research & Development,18,Medical,1,2.0,Male,Healthcare Representative,Married,3,0
305,33,Travel_Rarely,2622,Research & Development,4,Medical,1,3.0,Female,Research Scientist,Married,6,0
46,43,Travel_Rarely,2645,Research & Development,2,Medical,1,4.0,Female,Research Scientist,Divorced,1,0
177,26,Travel_Rarely,2942,Human Resources,25,Life Sciences,1,3.0,Female,Human Resources,Married,1,0
1706,43,Travel_Rarely,7847,Sales,2,Medical,1,,Male,Sales Executive,Married,1,0
1754,30,Travel_Rarely,7140,Sales,15,Marketing,1,3.0,Male,Sales Executive,Divorced,2,0
662,38,Travel_Rarely,2619,Research & Development,1,Life Sciences,1,3.0,Female,Research Scientist,Single,3,0
867,52,Travel_Frequently,13826,Research & Development,25,Medical,1,3.0,Female,Manufacturing Director,Married,3,0
773,38,Travel_Rarely,3057,Research & Development,2,Medical,1,,Male,Research Scientist,Married,6,0
204,35,Travel_Rarely,7295,Sales,1,Marketing,1,3.0,Male,Sales Executive,Married,1,0
226,50,Travel_Rarely,19926,Research & Development,11,Life Sciences,1,3.0,Female,Manager,Single,3,0
1049,45,Travel_Rarely,2177,Human Resources,24,Medical,1,2.0,Male,Human Resources,Single,1,0
58,41,Travel_Rarely,19545,Research & Development,12,Technical Degree,1,2.0,Female,Research Director,Married,1,1
1507,28,Travel_Frequently,4898,Sales,7,Life Sciences,1,3.0,Male,Sales Executive,Single,0,0
1778,43,Travel_Rarely,3539,Human Resources,2,Life Sciences,1,2.0,Male,Human Resources,Single,0,0
1998,42,Travel_Rarely,5410,Research & Development,18,Life Sciences,1,4.0,Male,Research Scientist,Divorced,6,0
243,19,Travel_Rarely,1102,Research & Development,2,Life Sciences,1,,Male,Laboratory Technician,Single,1,1
463,29,Travel_Rarely,8268,Sales,10,Marketing,1,4.0,Female,Sales Executive,Divorced,1,0
1293,43,Travel_Rarely,10231,Sales,4,Marketing,1,4.0,Female,Sales Executive,Single,3,0
302,45,Non-Travel,8865,Sales,6,Medical,1,4.0,Female,Sales Executive,Single,6,0
1487,29,Travel_Frequently,5765,Sales,13,Technical Degree,1,1.0,Female,Sales Executive,Single,5,1
550,46,Travel_Rarely,4810,Research & Development,18,Medical,1,3.0,Female,Manufacturing Director,Divorced,2,0
1703,44,Travel_Rarely,7879,Research & Development,2,Life Sciences,1,3.0,Female,Healthcare Representative,Married,1,0
303,54,Travel_Rarely,5940,Sales,3,Marketing,1,4.0,Female,Sales Executive,Married,2,0
218,27,Non-Travel,2024,Research & Development,9,Medical,1,4.0,Male,Research Scientist,Divorced,6,0
1007,46,Travel_Rarely,10845,Research & Development,7,Medical,1,4.0,Male,Manufacturing Director,Divorced,6,0
1105,37,Travel_Rarely,6694,Sales,10,Life Sciences,1,4.0,Female,Sales Executive,Divorced,2,0
84,55,Travel_Rarely,14756,Research & Development,8,Medical,1,4.0,Female,Manager,Divorced,2,0
1644,48,Travel_Frequently,15202,Research & Development,4,Medical,1,3.0,Male,Manager,Married,2,0
525,43,Travel_Frequently,2258,Research & Development,21,Medical,1,4.0,Male,Laboratory Technician,Married,7,0
228,30,Travel_Rarely,9419,Sales,5,Life Sciences,1,,Female,Sales Executive,Married,2,0
444,39,Travel_Frequently,19272,Research & Development,7,Medical,1,3.0,Male,Manager,Married,1,0
675,22,Travel_Rarely,2773,Research & Development,6,Medical,1,1.0,Male,Research Scientist,Married,0,0
1782,38,Travel_Rarely,3702,Research & Development,6,Other,1,4.0,Female,Laboratory Technician,Married,1,0
1397,39,Non-Travel,10920,Research & Development,25,Life Sciences,1,3.0,Male,Healthcare Representative,Married,3,0
972,45,Non-Travel,4447,Research & Development,4,Life Sciences,1,3.0,Male,Laboratory Technician,Married,1,0
530,31,Travel_Rarely,2218,Research & Development,1,Life Sciences,1,4.0,Male,Laboratory Technician,Married,1,0
1364,27,Travel_Rarely,2534,Sales,11,Medical,1,3.0,Female,Sales Representative,Married,8,0
394,26,Travel_Rarely,2373,Research & Development,16,Medical,1,,Male,Laboratory Technician,Divorced,2,1
558,40,Travel_Rarely,18041,Sales,2,Life Sciences,1,3.0,Female,Manager,Married,0,0
905,50,Non-Travel,17924,Research & Development,2,Life Sciences,1,1.0,Male,Manager,Divorced,1,0
1172,35,Travel_Rarely,2258,Research & Development,1,Medical,1,4.0,Male,Laboratory Technician,Married,6,0
1873,55,Travel_Rarely,2662,Research & Development,2,Technical Degree,1,2.0,Male,Research Scientist,Married,8,0
659,42,Travel_Rarely,4089,Research & Development,2,Life Sciences,1,3.0,Female,Healthcare Representative,Married,1,0
347,42,Travel_Rarely,6545,Research & Development,17,Life Sciences,1,4.0,Female,Research Scientist,Single,3,0
1678,41,Travel_Rarely,7082,Sales,23,Life Sciences,1,4.0,Male,Sales Executive,Single,3,0
1651,36,Travel_Rarely,8008,Research & Development,5,Life Sciences,1,2.0,Female,Healthcare Representative,Married,4,0
986,40,Non-Travel,13194,Sales,24,Life Sciences,1,2.0,Female,Sales Executive,Single,4,1
705,23,Travel_Rarely,2819,Research & Development,4,Medical,1,1.0,Male,Research Scientist,Married,2,0
434,27,Travel_Rarely,2478,Research & Development,5,Life Sciences,1,3.0,Female,Research Scientist,Single,1,0
419,36,Non-Travel,5674,Research & Development,24,Life Sciences,1,2.0,Female,Laboratory Technician,Married,7,0
1771,33,Non-Travel,3055,Research & Development,4,Technical Degree,1,4.0,Male,Research Scientist,Divorced,5,0
335,40,Travel_Rarely,3319,Research & Development,24,Technical Degree,1,1.0,Male,Research Scientist,Divorced,1,0
1238,33,Travel_Rarely,2781,Research & Development,9,Medical,1,1.0,Male,Research Scientist,Married,0,0
555,34,Travel_Frequently,2351,Sales,6,Marketing,1,4.0,Female,Sales Representative,Divorced,0,1
258,51,Travel_Rarely,13734,Research & Development,3,Medical,1,4.0,Female,Healthcare Representative,Single,3,0
441,30,Travel_Rarely,5775,Research & Development,28,Medical,1,4.0,Female,Research Scientist,Married,1,0
595,48,Travel_Rarely,4051,Sales,2,Marketing,1,2.0,Female,Sales Executive,Married,2,0
1255,43,Travel_Rarely,19740,Research & Development,3,Life Sciences,1,3.0,Male,Research Director,Married,3,0
1504,28,Travel_Frequently,2561,Research & Development,2,Medical,1,3.0,Male,Laboratory Technician,Single,7,1
154,36,Travel_Frequently,9738,Sales,11,Technical Degree,1,2.0,Female,Sales Executive,Married,0,0
397,36,Travel_Rarely,4485,Research & Development,3,Technical Degree,1,3.0,Male,Research Scientist,Single,4,0
947,31,Non-Travel,6932,Sales,20,Marketing,1,4.0,Female,Sales Executive,Married,1,0
1241,30,Travel_Rarely,3579,Research & Development,1,Medical,1,4.0,Male,Research Scientist,Married,0,0
493,31,Travel_Rarely,2657,Research & Development,9,Life Sciences,1,3.0,Male,Research Scientist,Single,0,0
27,36,Travel_Rarely,3407,Sales,9,Life Sciences,1,3.0,Male,Sales Representative,Single,7,1
1684,23,Travel_Rarely,3989,Research & Development,8,Medical,1,4.0,Male,Laboratory Technician,Single,1,1
1377,34,Travel_Rarely,5429,Research & Development,29,Medical,1,2.0,Male,Laboratory Technician,Married,4,0
454,29,Travel_Rarely,2119,Research & Development,8,Other,1,2.0,Male,Laboratory Technician,Married,1,1
781,25,Travel_Rarely,6180,Sales,26,Medical,1,3.0,Female,Sales Executive,Single,1,0
12,38,Travel_Frequently,9526,Research & Development,23,Life Sciences,1,4.0,Male,Manufacturing Director,Single,0,0
1034,55,Travel_Frequently,6385,Research & Development,18,Medical,1,,Male,Healthcare Representative,Married,3,0
865,32,Travel_Rarely,5175,Research & Development,8,Medical,1,3.0,Female,Research Scientist,Married,5,0
1004,30,Travel_Rarely,2132,Research & Development,22,Life Sciences,1,,Female,Research Scientist,Married,4,1
1621,35,Travel_Rarely,5208,Research & Development,18,Life Sciences,1,2.0,Male,Research Scientist,Married,1,0
783,45,Travel_Rarely,6632,Sales,2,Technical Degree,1,2.0,Male,Sales Representative,Single,0,0
325,33,Travel_Rarely,2436,Research & Development,14,Medical,1,3.0,Male,Laboratory Technician,Married,5,1
1683,44,Travel_Rarely,3195,Human Resources,1,Life Sciences,1,3.0,Female,Human Resources,Divorced,4,0
508,30,Travel_Rarely,2476,Sales,2,Technical Degree,1,3.0,Male,Sales Representative,Married,1,0
1102,28,Travel_Rarely,2207,Research & Development,15,Life Sciences,1,1.0,Male,Laboratory Technician,Divorced,1,0
1640,37,Travel_Rarely,3936,Research & Development,10,Medical,1,2.0,Female,Research Scientist,Married,1,0
1481,44,Travel_Frequently,4768,Sales,1,Marketing,1,,Female,Sales Executive,Married,7,0
1111,28,Travel_Frequently,2596,Research & Development,1,Medical,1,1.0,Male,Laboratory Technician,Divorced,1,1
2035,34,Travel_Rarely,6712,Sales,28,Marketing,1,4.0,Female,Sales Executive,Married,1,0
143,25,Travel_Rarely,2889,Research & Development,7,Medical,1,4.0,Male,Research Scientist,Married,1,0
1792,44,Travel_Frequently,2342,Research & Development,1,Medical,1,3.0,Male,Research Scientist,Divorced,1,1
153,34,Travel_Rarely,11631,Research & Development,5,Medical,1,3.0,Female,Manager,Single,2,0
336,45,Travel_Rarely,19202,Research & Development,1,Other,1,3.0,Male,Manager,Married,0,0
1698,33,Travel_Rarely,2028,Research & Development,21,Medical,1,2.0,Male,Laboratory Technician,Married,1,0
1497,29,Travel_Rarely,8620,Sales,19,Life Sciences,1,3.0,Male,Sales Executive,Divorced,1,0
1722,41,Non-Travel,6430,Human Resources,4,Human Resources,1,3.0,Male,Human Resources,Married,6,0
1569,35,Travel_Rarely,2074,Research & Development,2,Life Sciences,1,1.0,Female,Laboratory Technician,Divorced,1,1
